date,state_name,state_fips_code,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths
2020-03-13,Alabama,01,6,0,6,0
2020-03-14,Alabama,01,12,0,18,0
2020-03-15,Alabama,01,23,0,41,0
2020-03-16,Alabama,01,29,0,70,0
2020-03-17,Alabama,01,39,0,109,0
2020-03-18,Alabama,01,51,0,160,0
2020-03-19,Alabama,01,78,0,238,0
2020-03-20,Alabama,01,106,0,344,0
2020-03-21,Alabama,01,131,0,475,0
2020-03-22,Alabama,01,157,0,632,0
2020-03-23,Alabama,01,196,0,828,0
2020-03-24,Alabama,01,242,0,1070,0
2020-03-25,Alabama,01,386,1,1456,1
2020-03-26,Alabama,01,538,3,1994,4
2020-03-27,Alabama,01,639,4,2633,8
2020-03-28,Alabama,01,720,4,3353,12
2020-03-29,Alabama,01,830,5,4183,17
2020-03-30,Alabama,01,947,11,5130,28
2020-03-31,Alabama,01,999,13,6129,41
2020-04-01,Alabama,01,1106,28,7235,69
2020-04-02,Alabama,01,1270,32,8505,101
2020-04-03,Alabama,01,1535,38,10040,139
2020-04-04,Alabama,01,1633,44,11673,183
2020-04-05,Alabama,01,1841,45,13514,228
2020-04-06,Alabama,01,2006,53,15520,281
2020-04-07,Alabama,01,2197,64,17717,345
2020-04-08,Alabama,01,2499,67,20216,412
2020-04-09,Alabama,01,2838,78,23054,490
2020-04-10,Alabama,01,3008,80,26062,570
2020-04-11,Alabama,01,3262,93,29324,663
2020-04-12,Alabama,01,3583,93,32907,756
2020-04-13,Alabama,01,3805,104,36712,860
2020-03-12,Alaska,02,1,0,1,0
2020-03-13,Alaska,02,1,0,2,0
2020-03-14,Alaska,02,1,0,3,0
2020-03-15,Alaska,02,1,0,4,0
2020-03-16,Alaska,02,3,0,7,0
2020-03-17,Alaska,02,6,0,13,0
2020-03-18,Alaska,02,9,0,22,0
2020-03-19,Alaska,02,12,0,34,0
2020-03-20,Alaska,02,14,0,48,0
2020-03-21,Alaska,02,21,0,69,0
2020-03-22,Alaska,02,22,0,91,0
2020-03-23,Alaska,02,36,0,127,0
2020-03-24,Alaska,02,42,0,169,0
2020-03-25,Alaska,02,59,0,228,0
2020-03-26,Alaska,02,69,0,297,0
2020-03-27,Alaska,02,85,1,382,1
2020-03-28,Alaska,02,102,1,484,2
2020-03-29,Alaska,02,114,1,598,3
2020-03-30,Alaska,02,119,2,717,5
2020-03-31,Alaska,02,133,2,850,7
2020-04-01,Alaska,02,143,2,993,9
2020-04-02,Alaska,02,146,2,1139,11
2020-04-03,Alaska,02,156,2,1295,13
2020-04-04,Alaska,02,169,3,1464,16
2020-04-05,Alaska,02,185,4,1649,20
2020-04-06,Alaska,02,189,4,1838,24
2020-04-07,Alaska,02,211,4,2049,28
2020-04-08,Alaska,02,224,5,2273,33
2020-04-09,Alaska,02,233,5,2506,38
2020-04-10,Alaska,02,244,5,2750,43
2020-04-11,Alaska,02,255,6,3005,49
2020-04-12,Alaska,02,270,6,3275,55
2020-04-13,Alaska,02,275,6,3550,61
2020-04-09,American Samoa,60,0,0,0,0
2020-04-10,American Samoa,60,0,0,0,0
2020-04-11,American Samoa,60,0,0,0,0
2020-04-12,American Samoa,60,0,0,0,0
2020-04-13,American Samoa,60,0,0,0,0
